cif,an,active_imobilizante_total,active_circulante_total,stocuri,creante,datorii,provizioane,capitaluri_total,patrimoniul_regiei,cifra_de_afaceri_neta,venituri_totale,cheltuieli_totate,profit_brut,pierdere_brut,profit_net,pierdere_net,salariati
17237282,2020,66000,712824,72459,87401,1441699,0,-662875,0,205493,240477,319020,0,78543,0,80948,3
17238245,2020,0,407479,0,271286,461900,0,-54421,0,541805,549726,702081,0,152355,0,157773,1
17302267,2020,878329,242687,53310,89555,131786,0,993815,0,631874,658875,498987,159888,0,152435,0,5
17327490,2020,36204,939115,454388,115729,568626,0,406693,0,557978,561656,502619,59037,0,53443,0,5
17327989,2020,73998,1089391,15799,1069254,520759,0,33493,0,112259,147422,100539,46883,0,45633,0,4
17328160,2020,694643,579204,61385,338387,73680,479043,721124,0,1535538,1685454,1668562,16892,0,356,0,10
17340449,2020,758685,918655,826269,68800,684417,0,1039347,0,1256580,1356924,1196928,159996,0,151250,0,11
17352850,2020,112329,1872408,110548,1759993,1145111,0,839626,0,1837487,1859170,1259075,600095,0,581655,0,0
17385165,2020,0,19098,11001,0,202012,0,-182914,0,75597,89735,83502,6233,0,5528,0,2
17416067,2020,1204282,594927,195158,264095,180899,0,1628481,0,1791599,1568292,1034060,534232,0,518575,0,8
17422395,2020,5889,953126,0,524246,272315,0,686700,0,1364619,1364619,1242653,121966,0,109301,0,1
17479928,2020,717174,232745,10865,186825,654614,0,295400,0,180000,195801,264911,0,69110,0,72849,1
17482800,2020,107865,401243,0,114401,52411,0,456697,0,760553,760577,352587,407990,0,400879,0,5
17516864,2020,1219742,2526680,177008,2344289,2116064,5512026,-3804443,0,1846217,4275751,1921132,2354619,0,2311310,0,8
17525250,2020,614200,869577,622718,146743,1283479,0,200298,0,838407,839907,860464,0,20557,0,20557,2
17536969,2020,0,23751,1421,5506,466,0,23285,0,58300,58300,50015,8285,0,6592,0,0
17539264,2020,1978,40772,2945,5624,3108,0,39642,0,64842,65856,99099,0,33243,0,34297,1
17543176,2020,0,122451,98093,22768,380882,0,-258431,0,199893,220661,290596,0,69935,0,71984,9
17548742,2020,495401,1441586,402467,473145,143986,0,1793654,0,1693111,1996885,1406614,590271,0,574854,0,6
17571010,2020,187509,31307,0,21899,263241,0,-44425,0,109946,138805,188518,0,49713,0,51095,1
17576246,2020,348664,274782,132368,99252,166040,0,457406,0,255417,212164,220188,0,8024,0,15573,1
17580573,2020,38321,52144,3948,26641,12484,0,77981,0,762387,762388,708515,53873,0,47253,0,4
17600948,2020,728173,1382266,383023,914619,630172,0,1482115,0,3337874,3361589,3119901,241688,0,189317,0,7
17603332,2020,58590,186537,0,186811,1575049,0,-1314753,0,283189,400437,1973841,0,1573404,0,1573404,0
17617346,2020,20260925,14423973,80840,1106861,19448384,215177,14986074,0,10278041,10334515,8530694,1803821,0,1449434,0,25
17626808,2020,26856,278819,37417,17200,150753,0,154922,0,558543,568773,519935,48838,0,43595,0,3
17631227,2020,344865,832174,41091,780878,131771,0,1045696,0,46406,46406,6327,40079,0,38720,0,0
17676849,2020,568449,1275088,653542,429714,1259522,0,594722,0,5226034,5250742,5223595,27147,0,22084,0,7
17677259,2020,1651,11597,8645,2894,102503,0,-89255,0,0,0,0,0,0,0,0,0
17708282,2020,406386,537408,510012,26540,2584547,0,-1640753,0,80975,92666,253480,0,160814,0,161625,3
17708860,2020,4985173,11163074,6098146,5004413,15971838,0,-125012,0,5553635,6642649,6243087,399562,0,399562,0,11
17714527,2020,0,57500,0,1479,6360,0,51140,0,145214,158581,106432,52149,0,50800,0,2
17730654,2020,38944,780775,705246,840,21411,0,798308,0,510473,522839,428756,94083,0,89427,0,5
17751282,2020,657587,722646,680555,36947,902027,0,478206,0,221602,570614,474956,95658,0,94375,0,2
17752083,2020,0,188783,5356,2766,36631,0,152152,0,283829,283832,241068,42764,0,40055,0,1
17760710,2020,597700,964749,216132,471745,944512,0,631576,0,1782513,1812072,1593463,218609,0,202125,0,8
